,Account,Post,Tag,Likes,Comments
0,budi_subagja17,,[],15,"['Selamat yaaaa kak', 'Happy graduation @budi_subagja17  semoga ilmunya bermanfaat ya', 'Mantapp bro happy gradution , semoga kedepannya makin makin sukses']"
1,budi_subagja17,Pandeglang,[],6,[]
2,budi_subagja17,,[],7,[]
3,budi_subagja17,,[],5,[]
4,budi_subagja17,,[],5,[]
5,budi_subagja17,,[],2,[]
6,budi_subagja17,Ordern hari pertama. Hehe,[],4,[]
7,budi_subagja17,Gk ada serem2 nya,[],2,"['Follow ya @budi_subagja17', 'Ok']"
8,budi_subagja17,Haha,[],2,[]
9,budi_subagja17,Numpang foto,[],3,[]
10,budi_subagja17,Metal abis,[],2,[]
11,budi_subagja17,Konser thirteen,[],3,[]
12,bayuramdani575,,[],0,[]
13,bayuramdani575,,[],6,['']
14,bayuramdani575,5 Bersaodara,[],4,[]
15,bayuramdani575,,[],4,[]
16,str_066,"HAPPY INDEPENDEN DAY REPUBLIK INDONESIA KE 74Th 
NKRI HARGA MATI!!",[],7,[]
17,str_066,Tukidjo family,[],7,[]
18,str_066,Harta yang paling berharga adalah keluarga..,[],6,[]
19,str_066,"Kebahagiaan seorang pendidik adalah saat yang didik mampu meraih hasil maksimal dan melewati gurunya

#Trisusila11",['trisusila11'],7,[]
20,str_066,"Pemilu

Katanya sebuah pesta demokrasi
Dimana mereka calon pemimpin negri
Saling beradu visi misi
Bukan menebar hoax, politik identitas dan adu kuat masa

Kini semua seharusnya telah usai
Siapapun yang akan memimpin negeri
Itulah takdir yang harus di embannya
Tak usah menjadi jumawa
Dan bersikap ksatria jika belum saatnya

Stop semua perselisihan
Mereka yang di mencalonkan masih berteman
Mengapa kita harus saling bermusuhan *Penatakbertuan

#kembalibersatu #persatuanindonesia","['kembalibersatu', 'persatuanindonesia']",3,[]
21,str_066,"Cinta dalam diam
Kini ku tahu arti dari diam
Diam bukan berarti tak bersuara
Tapi menyuarakan pada sang pemilik hati nya

Cinta dalam diam
Kan ku slalu jaga hati ku dalam penantian
Hingga kita di pertemukan
Dalam sebuah tali pernikahan

#penatakbertuan #sajak
#sajaksenja -penatakbertuan","['penatakbertuan', 'sajak', 'sajaksenja']",4,[]
22,str_066,"Ketika cinta mulai bersemi di 2 hati
Dan berlabuh pada pada hubungan tak pasti
Setan hadir dan mulai mempengaruhi
Makna cinta yang seharusnya suci
Kini terbalut oleh nafsu birahi

Jika memang yakin itu cinta
Mengapa tak berdoa kepada Nya
Datangi walinya
Dan halal kan dirinya tuk kau cinta
Itupun..
Kalau kau seorang pria

#penatakbertuan #aksarasenja
#penikmatsenja
@daripena_","['penatakbertuan', 'aksarasenja', 'penikmatsenja']",2,[]
23,str_066,"Seharusnya dari awal ku sadar diri
Bahwa bukan hanya diri ini
Yang menyebut nama mu di sepertiga malam
Yang selalu berdoa untuk kebaikanmu
Dan bukan hanya diri ini yang mengharap kau menjadi pendamping ku
Maka..
Ku harus mulai mengikhlaskan
Bahwa apa yang di harapkan
Tak menjadi kenyataan
@daripena_",[],3,[]
24,str_066,"Semua Kerinduan kan bermuara pada pertemuan
Bagai fajar merindu gulita
Serta serta mentari merindu rembulan
Yang di pertemukan sang maha cinta
Pada jingga di kala senja
Memberi makna keindahan tiada Tara

Rasa ini sengaja ku tuliskan
Pada pena tak bertuan
Dalam sajak tak bermakna

@daripena_",[],5,[]
25,str_066,"Bukan seorang jomblo yang fisabilillah, hanya seorang yang tak ingin melihat saudara nya terjebak di dalam zona tersebut.
#savejomblo",['savejomblo'],8,[]
26,osscar_44,"Kalo kamu malas hari ini, besok kamu bakal dibuat KERJA LEBIH KERAS dari yang kamu bayangkan.",[],71,"['I like caption ', 'haloo,follbck dong']"
27,osscar_44,"Jangan memohon pada Tuhan tuk meringankan cobaan yang ada, berdoa lah pada Tuhan tuk memberi mu kekuatan tuk dapat melaluinya.",[],59,[]
28,osscar_44,"Aku ingin mencintaimu
Dengan sederhana,
Dengan kata yang
Tak sempat diucapkan,
Kayu kepada api yang menjadikannya abu.",[],60,"['Mau dong di cintai Oscar dengan sederhana ', 'Jangan mba takut gak kuat Dengan sederhana sama mba @mettatriju ', 'Hahaha cakep, gitu baru cowo.']"
29,osscar_44,"Just be yourself, No matter what other people think of  you. God made you the way you are with a reason. Always remember, an original will always worth more than a copy!",[],72,[]
30,osscar_44,"If you make friends with yourself, you will never be alone -  Maxwell Maltz",[],59,[]
31,osscar_44,"Orang yang menginginkan impian nya mejadi sebuah kenyataan, maka dia harus menjaga agar tidak tertidur.",[],60,"['Mantap djiwa @osscar_44', 'Bukan lagi kan idihhh wkwk', 'Ada zombie wkwkwk', 'Jadi meen wkwk', 'Banguuuuunnnn jangan cuma teori']"
32,osscar_44,,[],69,[]
33,osscar_44,I'm shy at first but i do the stupidest random things when i get comfortable with someone. - Herley quinn is me,[],55,[]
34,osscar_44,"Tertawa, Berbagi cerita dan pengalaman bersama kalian adalah hal yang mengasik bagi dariku",[],59,"['Nga ngajak""']"
35,osscar_44,Help ?,[],45,[]
36,osscar_44,Touring kedua SCT ke curuk 7 cilember#followfollow #beautiful #mytripmyadventure,"['followfollow', 'beautiful', 'mytripmyadventure']",22,[]
37,casan_casan,,[],12,"['Dah sembuh bln bray', 'Huaaa casann...', 'Kaget aku ', 'Wow.... ituh idung udah bae apah??? ', 'Hidungnya mancung paska operasi', 'Boz mafiaa ...']"
38,casan_casan,"Baik itu blm tentu baik Dimata Allah
Baik itu jg blm tentu baik Dimata manusia tetap jd yg terbaik...walau byk halangan dan rintangan nya.....
Biar Allah yg menilai smuanya....",[],18,[]
39,casan_casan,,[],17,"['Ekhem', 'Bungkus.....', '']"
40,casan_casan,,[],14,[]
41,casan_casan,,[],15,[]
42,casan_casan,,[],10,[]
43,casan_casan,,[],8,[]
44,hvario318,Gue mancing dulu deh,[],3,"['Itu bewok apa tawon', 'Wkwkwkwkwkwkw mau jadi la Rhoma']"
45,hvario318,Bg evie ame wa pur lagi buanyak makan sate,[],2,[]
46,hvario318,Jagain kampung,[],4,[]
47,hvario318,Jaga kampung,[],1,[]
48,hvario318,,[],1,[]
49,hvario318,Alhamdulillah rejeki,[],2,[]
50,hvario318,,[],2,[]
51,hvario318,,[],1,['Persiapan cari mujaer']
52,hvario318,Alhamdulillah Buka puasa kebersamaan pengawas gardu dgn pengurus Anggota Gardu 131 Macan Cipinang,[],2,[]
53,hvario318,,[],5,[]
54,naracellbekasi,Original % cabutan,[],0,[]
55,naracellbekasi,"Harga promo hanya di naracellbekasi hanya 100k, suara mantap",[],0,[]
56,naracellbekasi,"Untuk bermain games lebih seru tidak perlu takut HP panas, dipajang kunjungi Nara Cell terdekat",[],0,[]
57,naracellbekasi,Harga terjangkau dan dapat kan promo nya hanya di @naracellbekasi,[],0,[]
58,naracellbekasi,,[],0,[]
59,naracellbekasi,,[],0,[]
60,rusmandamiris,,[],11,[]
61,rusmandamiris,Harus kah bersedih atau gembira dengan ditinggalkannya,[],5,[]
62,rusmandamiris,,[],7,[]
63,rusmandamiris,,[],6,[]
64,rusmandamiris,,[],7,[]
65,rusmandamiris,,[],8,[]
66,rusmandamiris,,[],5,['Mau Peninggi badan Naik 1-15 cm?']
67,rusmandamiris,Engk terasa udah 7 tahun berlalu,[],7,[]
68,rusmandamiris,,[],8,"['Sehat terus ya ..\nsemoga selalu dalam lindungan Allah..', '']"
69,rusmandamiris,,[],4,[]
70,rusmandamiris,,[],4,['']
71,rusmandamiris,,[],3,['Keren banget kak ']
72,rusmandamiris,,[],4,[]
73,rusmandamiris,,[],5,[]
74,rusmandamiris,,[],6,[]
75,rusmandamiris,,[],2,[]
